,location,total_sqft,bath,price,bhk
48,7th Phase JP Nagar,1680.0,3.0,117.0,3
49,7th Phase JP Nagar,1000.0,2.0,53.0,2
50,7th Phase JP Nagar,1680.0,3.0,125.0,3
51,7th Phase JP Nagar,1460.0,2.0,100.0,3
53,7th Phase JP Nagar,1200.0,2.0,62.5,2
54,7th Phase JP Nagar,1000.0,2.0,70.65,2
55,7th Phase JP Nagar,1080.0,2.0,75.0,2
56,7th Phase JP Nagar,1680.0,3.0,125.0,3
58,7th Phase JP Nagar,1100.0,3.0,60.0,2
60,7th Phase JP Nagar,1680.0,3.0,117.0,3
61,7th Phase JP Nagar,1050.0,2.0,77.0,2
62,7th Phase JP Nagar,1050.0,2.0,75.0,2
63,7th Phase JP Nagar,1040.0,2.0,75.0,2
64,7th Phase JP Nagar,1400.0,2.0,95.0,3
65,7th Phase JP Nagar,1800.0,3.0,130.0,3
66,7th Phase JP Nagar,1050.0,2.0,68.0,2
67,7th Phase JP Nagar,1000.0,2.0,60.0,2
68,7th Phase JP Nagar,1680.0,3.0,125.0,3
69,7th Phase JP Nagar,1050.0,2.0,77.47,2
70,7th Phase JP Nagar,1270.0,2.0,80.0,2
71,7th Phase JP Nagar,1680.0,3.0,122.0,3
72,7th Phase JP Nagar,1130.0,2.0,85.0,2
73,7th Phase JP Nagar,1680.0,3.0,130.0,3
74,7th Phase JP Nagar,980.0,2.0,77.44,2
77,7th Phase JP Nagar,1976.0,3.0,145.0,3
78,7th Phase JP Nagar,1600.0,2.0,110.0,3
80,7th Phase JP Nagar,1450.0,2.0,102.0,3
81,7th Phase JP Nagar,1575.0,2.0,110.0,3
83,7th Phase JP Nagar,750.0,1.0,47.0,1
84,7th Phase JP Nagar,1430.0,2.0,102.0,3
85,7th Phase JP Nagar,1128.0,2.0,60.0,2
86,8th Phase JP Nagar,1073.5,2.0,54.005,2
87,8th Phase JP Nagar,451.0,1.0,29.9,1
88,8th Phase JP Nagar,1062.0,2.0,42.47,2
89,8th Phase JP Nagar,1455.0,3.0,73.31,3
90,8th Phase JP Nagar,871.0,2.0,55.0,2
91,8th Phase JP Nagar,1098.0,2.0,43.91,2
92,8th Phase JP Nagar,1062.0,2.0,42.47,2
93,8th Phase JP Nagar,500.0,1.0,31.0,1
94,8th Phase JP Nagar,909.0,2.0,40.9,2
95,8th Phase JP Nagar,1431.5,3.0,72.02,3
96,8th Phase JP Nagar,500.0,1.0,30.0,1
98,8th Phase JP Nagar,1504.0,2.0,83.0,3
100,8th Phase JP Nagar,1089.0,2.0,43.55,2
102,8th Phase JP Nagar,1513.0,2.0,62.0,2
103,8th Phase JP Nagar,1006.0,2.0,44.0,2
104,8th Phase JP Nagar,500.0,1.0,33.0,1
105,8th Phase JP Nagar,1510.0,2.0,80.0,2
107,8th Phase JP Nagar,1046.0,2.0,48.0,2
109,8th Phase JP Nagar,1408.0,3.0,80.0,3
111,9th Phase JP Nagar,1005.0,2.0,50.0,2
113,9th Phase JP Nagar,1035.0,2.0,45.0,2
114,9th Phase JP Nagar,1005.0,2.0,42.0,2
115,9th Phase JP Nagar,1005.0,2.0,43.0,2
116,9th Phase JP Nagar,835.0,2.0,37.0,2
117,9th Phase JP Nagar,1466.0,2.0,71.0,2
118,9th Phase JP Nagar,1480.0,2.0,80.0,2
119,9th Phase JP Nagar,1073.0,2.0,52.36,2
120,9th Phase JP Nagar,1719.3,2.0,88.0,3
121,9th Phase JP Nagar,1780.0,3.0,88.0,3
124,9th Phase JP Nagar,890.0,2.0,45.0,2
125,9th Phase JP Nagar,1331.95,2.0,69.0,2
126,AECS Layout,1199.0,2.0,65.0,2
127,AECS Layout,1080.0,2.0,55.0,2
128,AECS Layout,1123.0,2.0,64.0,2
129,AECS Layout,1308.0,2.0,60.0,2
130,AECS Layout,1005.0,2.0,55.0,2
131,AECS Layout,2000.0,3.0,90.0,3
132,Abbigere,985.0,2.0,40.39,2
133,Abbigere,795.0,2.0,32.54,2
134,Abbigere,1005.0,2.0,39.59,2
136,Abbigere,1020.0,2.0,41.82,2
137,Abbigere,985.0,2.0,40.39,2
138,Abbigere,795.0,2.0,32.54,2
139,Abbigere,1130.0,2.0,46.33,2
140,Abbigere,795.0,1.0,32.6,2
141,Abbigere,985.0,2.0,38.92,2
142,Abbigere,1000.0,2.0,41.0,2
143,Abbigere,995.0,2.0,40.8,2
144,Abbigere,1020.0,2.0,40.8,2
146,Akshaya Nagar,1897.0,3.0,120.0,3
147,Akshaya Nagar,1410.0,2.0,80.0,3
150,Akshaya Nagar,1430.0,2.0,75.0,3
152,Akshaya Nagar,1092.0,2.0,60.0,2
154,Akshaya Nagar,1884.0,3.0,98.0,3
155,Akshaya Nagar,1314.0,2.0,68.8,2
157,Akshaya Nagar,1265.0,2.0,67.0,2
159,Akshaya Nagar,1420.0,2.0,75.0,3
160,Akshaya Nagar,1412.0,2.0,88.0,3
161,Akshaya Nagar,1434.0,3.0,84.0,3
162,Akshaya Nagar,1419.0,2.0,87.0,3
164,Akshaya Nagar,1100.0,2.0,48.0,2
165,Akshaya Nagar,1896.0,3.0,102.0,3
166,Akshaya Nagar,1300.0,2.0,66.0,2
167,Akshaya Nagar,1225.0,2.0,68.0,2
169,Akshaya Nagar,900.0,2.0,45.0,2
170,Ambalipura,1105.0,2.0,75.0,2
171,Ambalipura,1150.0,2.0,80.0,2
172,Ambalipura,1332.0,2.0,79.0,2
173,Ambalipura,1730.0,3.0,120.0,3
174,Ambalipura,1351.0,2.0,77.0,2
175,Ambalipura,2550.0,4.0,149.0,4
176,Ambalipura,1625.0,2.0,145.0,3
177,Ambalipura,1303.0,2.0,80.0,2
178,Ambalipura,1607.0,2.0,112.0,3
179,Ambalipura,1700.0,2.0,76.0,2
180,Ambalipura,1607.0,2.0,112.0,3
181,Ambedkar Nagar,1935.0,4.0,130.0,3
182,Ambedkar Nagar,1424.0,2.0,90.0,2
183,Ambedkar Nagar,2225.0,4.0,169.0,3
184,Ambedkar Nagar,1850.0,4.0,139.0,3
185,Ambedkar Nagar,1862.0,3.0,119.0,3
186,Ambedkar Nagar,1424.0,2.0,90.0,2
187,Ambedkar Nagar,2150.0,4.0,125.0,3
188,Ambedkar Nagar,3530.0,4.0,290.0,4
189,Ambedkar Nagar,1852.0,3.0,130.0,3
190,Ambedkar Nagar,1850.0,4.0,120.0,3
191,Ambedkar Nagar,1367.0,2.0,86.0,2
192,Ambedkar Nagar,3565.0,4.0,255.0,4
193,Ambedkar Nagar,1409.0,2.0,95.0,2
194,Ambedkar Nagar,1950.0,4.0,120.0,3
195,Ambedkar Nagar,1921.0,4.0,129.0,3
196,Ambedkar Nagar,1935.0,4.0,125.0,3
197,Ambedkar Nagar,1852.0,4.0,122.0,3
198,Ambedkar Nagar,1950.0,4.0,120.0,3
199,Ambedkar Nagar,1852.0,3.0,125.0,3
200,Ambedkar Nagar,1850.0,4.0,121.0,3
201,Ambedkar Nagar,1425.0,2.0,94.0,2
202,Ambedkar Nagar,2395.0,4.0,150.0,3
203,Anandapura,1167.0,2.0,43.76,2
204,Anandapura,1141.0,2.0,42.79,2
205,Anandapura,1576.0,3.0,59.1,3
206,Anandapura,1151.0,2.0,43.1,2
207,Anandapura,1141.0,2.0,42.75,2
208,Anandapura,1151.0,2.0,42.9,2
210,Anandapura,1250.0,2.0,45.0,2
211,Anandapura,1151.0,2.0,43.16,2
212,Anandapura,1576.0,3.0,58.7,3
213,Ardendale,1750.0,3.0,100.0,3
214,Ardendale,3198.0,4.0,200.0,4
215,Ardendale,2422.0,4.0,160.0,4
216,Ardendale,1750.0,3.0,100.0,3
217,Ardendale,3200.0,4.0,205.0,4
218,Ardendale,1728.0,3.0,95.0,3
219,Ardendale,1732.46,3.0,92.0,3
220,Ardendale,1224.0,2.0,70.0,2
221,Ardendale,1777.26,3.0,105.0,3
222,Ardendale,1650.0,3.0,82.0,3
223,Ardendale,1650.0,3.0,82.0,3
224,Ardendale,1224.0,2.0,67.0,2
225,Ardendale,1723.0,3.0,95.0,3
226,Ardendale,1777.26,3.0,89.0,3
227,Ardendale,1777.26,3.0,92.0,3
228,Attibele,450.0,1.0,11.0,1
229,Attibele,1600.0,4.0,52.8,4
230,Attibele,656.0,2.0,25.0,2
231,Attibele,400.0,1.0,11.0,1
232,Attibele,400.0,1.0,12.0,1
233,Attibele,400.0,1.0,14.0,1
234,Attibele,500.0,1.0,17.0,1
235,Attibele,395.0,1.0,10.25,1
236,Attibele,420.0,1.0,17.0,1
238,Attibele,418.0,1.0,12.0,1
239,Attibele,400.0,1.0,10.0,1
240,Attibele,695.0,1.0,25.0,2
241,Attibele,850.0,1.0,25.0,2
242,Attibele,450.0,1.0,12.5,1
246,Attibele,782.0,1.0,19.55,1
248,Attibele,656.0,2.0,25.0,2
249,Attibele,400.0,1.0,11.5,1
250,Attibele,460.0,1.0,13.0,1
251,Attibele,418.0,2.0,11.5,1
252,Attibele,550.0,1.0,11.5,1
254,Attibele,400.0,1.0,10.25,1
255,Attibele,656.0,2.0,25.0,2
256,Attibele,520.0,1.0,15.0,1
257,BTM 2nd Stage,950.0,2.0,52.0,2
258,BTM 2nd Stage,1200.0,2.0,80.0,2
259,BTM 2nd Stage,1274.0,2.0,70.0,2
260,BTM 2nd Stage,1070.0,2.0,48.0,2
261,BTM 2nd Stage,1280.0,2.0,80.0,2
262,BTM 2nd Stage,1100.0,2.0,70.0,2
263,BTM 2nd Stage,1000.0,2.0,58.0,2
264,BTM 2nd Stage,1265.0,2.0,55.0,2
265,BTM 2nd Stage,965.0,2.0,56.0,2
266,BTM 2nd Stage,1147.0,2.0,75.0,2
267,BTM 2nd Stage,1400.0,2.0,90.0,2
268,BTM 2nd Stage,1200.0,2.0,70.0,2
270,Badavala Nagar,1494.0,2.0,94.55,3
271,Badavala Nagar,1274.0,2.0,81.0,2
272,Badavala Nagar,1842.0,3.0,115.0,3
273,Badavala Nagar,1494.0,2.0,94.55,3
274,Badavala Nagar,1274.0,2.0,81.0,2
275,Badavala Nagar,1494.0,2.0,94.55,3
276,Badavala Nagar,1842.0,3.0,115.0,3
277,Badavala Nagar,1842.0,3.0,115.0,3
278,Badavala Nagar,1842.0,3.0,115.0,3
279,Balagere,1210.0,2.0,80.9,2
280,Balagere,1205.0,2.0,78.5,2
283,Balagere,1020.07,2.0,68.38,2
284,Balagere,1205.47,2.0,81.0,2
285,Balagere,1007.0,2.0,65.0,2
288,Balagere,1210.0,2.0,83.0,2
289,Balagere,675.0,1.0,45.0,1
290,Balagere,656.0,1.0,43.0,1
292,Balagere,1012.0,2.0,64.0,2
293,Balagere,1007.0,2.0,62.0,2
294,Balagere,1007.0,2.0,67.0,2
295,Balagere,1007.0,2.0,66.0,2
297,Balagere,790.5,1.0,42.295,1
298,Balagere,1012.0,2.0,65.0,2
299,Balagere,656.0,1.0,38.77,1
300,Balagere,645.0,1.0,39.0,1
301,Balagere,645.0,1.0,41.0,1
302,Balagere,1210.0,2.0,82.0,2
304,Balagere,1012.0,2.0,70.0,2
305,Balagere,1007.0,2.0,68.0,2
307,Balagere,1205.0,2.0,79.0,2
308,Balagere,1012.0,2.0,68.0,2
309,Banashankari,1300.0,2.0,75.0,3
310,Banashankari,1800.0,3.0,115.0,3
311,Banashankari,1125.0,2.0,63.0,2
312,Banashankari,1310.0,2.0,80.0,2
314,Banashankari,1260.0,2.0,75.0,2
315,Banashankari,1350.0,2.0,83.0,3
317,Banashankari,1700.0,3.0,125.0,3
318,Banashankari,1390.0,2.0,86.0,2
319,Banashankari,1460.0,2.0,70.0,2
320,Banashankari,1200.0,2.0,60.0,2
321,Banashankari,1290.0,2.0,80.0,2
322,Banashankari,1186.0,2.0,65.0,2
323,Banashankari,1650.0,3.0,101.0,3
324,Banashankari,1330.0,2.0,77.0,2
325,Banashankari,1185.0,2.0,67.0,2
326,Banashankari,1650.0,3.0,101.0,3
327,Banashankari,1310.0,2.0,80.43,2
328,Banashankari,1430.0,2.0,87.8,2
330,Banashankari,1800.0,3.0,125.0,3
332,Banashankari,1770.0,3.0,108.0,3
333,Banashankari,1800.0,3.0,125.0,3
334,Banashankari,1100.0,2.0,63.0,2
335,Banashankari,1260.0,2.0,75.0,2
336,Banashankari,1426.0,3.0,85.0,3
337,Bannerghatta Road,1050.0,2.0,65.0,2
338,Bannerghatta Road,1170.0,2.0,66.0,3
339,Bannerghatta Road,595.0,1.0,33.32,1
340,Bannerghatta Road,1460.0,2.0,90.0,3
342,Bannerghatta Road,1179.0,2.0,66.02,2
343,Bannerghatta Road,1122.5,2.0,58.935,2
344,Bannerghatta Road,1400.0,2.0,78.0,2
345,Bannerghatta Road,1654.0,3.0,100.0,3
347,Bannerghatta Road,1200.0,2.0,75.0,2
349,Bannerghatta Road,595.0,1.0,31.83,1
350,Bannerghatta Road,1255.0,2.0,65.26,2
354,Bannerghatta Road,912.0,2.0,55.0,2
355,Bannerghatta Road,1115.0,2.0,65.12,2
356,Bannerghatta Road,1600.0,3.0,95.0,3
357,Bannerghatta Road,1275.0,2.0,65.0,2
358,Bannerghatta Road,892.0,2.0,39.0,2
360,Bannerghatta Road,1260.0,2.0,70.0,2
362,Bannerghatta Road,950.0,2.0,38.0,2
363,Bannerghatta Road,1220.0,2.0,80.0,2
364,Bannerghatta Road,1130.0,2.0,78.0,2
365,Bannerghatta Road,1486.0,3.0,83.22,3
367,Bannerghatta Road,1015.0,2.0,48.0,2
368,Bannerghatta Road,1115.0,2.0,61.0,2
369,Bannerghatta Road,1136.0,2.0,48.0,2
370,Bannerghatta Road,1200.0,2.0,69.0,3
372,Bannerghatta Road,1302.5,2.0,67.73,2
373,Bannerghatta Road,1200.0,2.0,65.0,2
374,Bannerghatta Road,1240.0,2.0,65.0,2
376,Bannerghatta Road,1532.5,3.0,84.29,3
377,Bannerghatta Road,1268.0,2.0,69.0,2
378,Bannerghatta Road,1450.0,2.0,87.0,3
379,Bannerghatta Road,960.0,2.0,58.0,2
380,Bannerghatta Road,1275.0,2.0,73.0,2
382,Bannerghatta Road,1215.0,2.0,68.0,2
383,Bannerghatta Road,1215.0,2.0,68.0,2
384,Bannerghatta Road,1894.0,3.0,115.0,3
387,Bannerghatta Road,1280.0,2.0,60.16,2
389,Bannerghatta Road,1215.0,2.0,68.0,2
390,Bannerghatta Road,1365.0,3.0,76.18,3
391,Bannerghatta Road,1115.0,2.0,78.0,2
394,Bannerghatta Road,1655.0,3.0,90.0,3
395,Bannerghatta Road,1247.0,2.0,47.39,2
396,Bannerghatta Road,1237.5,2.0,49.49,2
397,Bannerghatta Road,905.0,2.0,65.0,2
398,Bannerghatta Road,2185.0,3.0,120.0,4
399,Bannerghatta Road,1012.0,2.0,45.0,2
401,Bannerghatta Road,1460.0,2.0,80.0,3
402,Bannerghatta Road,1340.0,2.0,85.0,2
404,Bannerghatta Road,1115.0,2.0,61.0,2
405,Bannerghatta Road,1250.0,2.0,48.0,2
406,Bannerghatta Road,1640.0,3.0,105.0,3
410,Bannerghatta Road,1550.0,3.0,96.0,3
411,Bannerghatta Road,1200.0,2.0,78.0,2
413,Bannerghatta Road,700.0,1.0,31.2,1
416,Bannerghatta Road,905.0,2.0,58.0,2
418,Bannerghatta Road,1920.0,3.0,122.0,3
420,Bannerghatta Road,1270.0,2.0,73.0,3
421,Bannerghatta Road,1846.0,3.0,120.0,3
422,Bannerghatta Road,1122.5,2.0,61.74,2
423,Bannerghatta Road,1655.0,3.0,95.0,3
424,Bannerghatta Road,1206.0,2.0,53.0,2
425,Bannerghatta Road,1150.0,2.0,55.0,2
426,Bannerghatta Road,1215.0,2.0,65.0,2
427,Bannerghatta Road,1510.0,2.0,110.0,3
428,Bannerghatta Road,1246.0,2.0,47.35,2
429,Bannerghatta Road,1470.0,2.0,85.0,3
430,Bannerghatta Road,970.0,2.0,57.0,2
431,Battarahalli,1779.0,3.0,89.61,3
432,Battarahalli,1945.0,3.0,97.42,3
433,Battarahalli,1880.0,3.0,94.36,3
434,Battarahalli,1636.0,2.0,82.89,2
435,Battarahalli,1779.0,3.0,90.0,3
436,Battarahalli,1516.0,3.0,65.0,3
437,Battarahalli,2082.0,3.0,104.0,3
438,Battarahalli,2024.0,3.0,103.0,3
439,Battarahalli,1097.0,2.0,49.0,2
441,Begur,1419.0,2.0,59.0,3
442,Begur,1580.0,3.0,75.0,3
443,Begur,1445.0,2.0,47.1,3
444,Begur,1475.0,2.0,74.0,3
445,Begur,3500.0,4.0,185.0,3
446,Begur,1100.0,2.0,55.0,2
447,Begur,1306.0,2.0,65.0,2
448,Begur,1304.0,3.0,65.0,3
449,Begur,1411.0,2.0,60.0,3
450,Begur,815.0,2.0,40.0,2
451,Begur,1443.0,2.0,70.0,3
452,Begur Road,1200.0,2.0,44.0,2
453,Begur Road,1200.0,2.0,46.8,2
454,Begur Road,1160.0,2.0,44.0,2
456,Begur Road,1615.0,3.0,59.76,3
457,Begur Road,1200.0,2.0,43.2,2
458,Begur Road,1160.0,2.0,44.08,2
459,Begur Road,1200.0,2.0,45.0,2
460,Begur Road,1410.0,2.0,53.0,3
461,Begur Road,1260.0,2.0,46.62,2
463,Begur Road,1500.0,2.0,70.0,3
464,Begur Road,1160.0,2.0,42.0,2
465,Begur Road,1200.0,2.0,45.0,2
466,Begur Road,1500.0,2.0,55.0,3
467,Begur Road,1410.0,2.0,52.17,3
469,Begur Road,1583.0,3.0,74.4,3
470,Begur Road,1170.0,2.0,46.0,2
471,Begur Road,1160.0,2.0,42.92,2
472,Begur Road,1410.0,2.0,52.17,3
474,Begur Road,1565.0,2.0,59.76,3
475,Begur Road,1160.0,2.0,42.0,2
477,Begur Road,1410.0,2.0,53.58,3
478,Begur Road,1200.0,2.0,42.6,2
479,Begur Road,1160.0,2.0,42.0,2
480,Begur Road,1334.0,2.0,42.69,2
481,Begur Road,1565.0,2.0,57.91,3
482,Begur Road,1200.0,2.0,45.6,2
483,Begur Road,1215.0,2.0,43.13,2
484,Begur Road,1160.0,2.0,36.54,2
486,Begur Road,1200.0,2.0,44.4,2
488,Begur Road,2464.5,6.0,118.0,4
489,Begur Road,1160.0,2.0,44.0,2
492,Begur Road,1200.0,2.0,42.0,2
493,Begur Road,1240.0,2.0,45.88,2
495,Begur Road,1200.0,2.0,44.0,2
497,Begur Road,1100.0,2.0,42.6,2
498,Begur Road,1565.0,2.0,57.91,3
499,Begur Road,1200.0,2.0,44.4,2
500,Begur Road,2500.0,6.0,122.5,4
501,Begur Road,1160.0,2.0,36.54,2
502,Begur Road,1215.0,2.0,43.75,2
503,Begur Road,1200.0,2.0,44.73,2
504,Begur Road,1410.0,2.0,54.99,3
505,Bellandur,1250.0,2.0,76.0,2
506,Bellandur,1000.0,2.0,50.0,2
507,Bellandur,921.0,2.0,40.0,2
509,Bellandur,1490.0,2.0,98.0,3
512,Bellandur,1299.0,2.0,82.0,2
513,Bellandur,900.0,2.0,56.0,2
514,Bellandur,1457.0,2.0,85.0,2
515,Bellandur,1050.0,2.0,72.0,2
516,Bellandur,3600.0,4.0,260.0,4
517,Bellandur,1310.0,2.0,72.0,2
518,Bellandur,1785.0,3.0,118.0,3
519,Bellandur,1051.0,2.0,60.0,2
521,Bellandur,1685.0,3.0,100.0,3
522,Bellandur,982.0,2.0,55.0,2
523,Bellandur,1063.0,2.0,58.0,2
524,Bellandur,1325.0,2.0,65.0,2
525,Bellandur,1281.0,2.0,87.0,2
526,Bellandur,1200.0,2.0,52.0,2
527,Bellandur,1785.0,3.0,120.0,3
528,Bellandur,1088.0,2.0,48.0,2
529,Bellandur,1310.0,2.0,85.0,2
530,Bellandur,1465.0,3.0,90.0,2
531,Bellandur,1767.0,3.0,109.0,3
532,Bellandur,1150.0,2.0,69.44,2
533,Bellandur,1410.0,3.0,92.0,2
534,Bellandur,1015.0,2.0,60.0,2
536,Bellandur,1685.0,3.0,101.0,3
537,Bellandur,1685.0,3.0,115.0,3
538,Bellandur,1049.0,2.0,51.0,2
541,Bellandur,1200.0,2.0,62.0,2
545,Bellandur,960.0,2.0,48.0,2
546,Bellandur,1690.0,2.0,116.0,3
547,Bellandur,850.0,2.0,45.0,2
548,Bellandur,1454.0,2.0,90.0,2
550,Bellandur,1195.0,2.0,52.0,2
552,Bellandur,1260.0,2.0,83.5,2
553,Bellandur,1047.0,2.0,75.0,2
554,Bharathi Nagar,1322.0,2.0,68.0,2
555,Bharathi Nagar,1351.0,2.0,70.0,2
556,Bharathi Nagar,1351.0,2.0,74.0,2
557,Bharathi Nagar,1432.0,2.0,68.0,2
558,Bharathi Nagar,1328.0,2.0,69.0,2
559,Bhoganhalli,1670.0,3.0,99.0,3
562,Bhoganhalli,1444.0,2.0,75.97,2
563,Bhoganhalli,1447.0,2.0,75.97,2
564,Bhoganhalli,1700.0,3.0,126.0,3
565,Bhoganhalli,1447.0,2.0,75.97,2
569,Bhoganhalli,1760.0,3.0,127.0,3
571,Bhoganhalli,1447.0,2.0,75.97,2
572,Bhoganhalli,1949.0,3.0,129.0,3
573,Bhoganhalli,1760.0,3.0,128.0,3
574,Bhoganhalli,1447.0,2.0,75.97,2
575,Bhoganhalli,2439.0,4.0,185.0,4
579,Bhoganhalli,1444.0,2.0,75.97,2
580,Bhoganhalli,1205.0,2.0,64.47,2
581,Bhoganhalli,1447.0,2.0,75.97,2
582,Bhoganhalli,2439.0,5.0,170.0,4
584,Bhoganhalli,1205.0,2.0,68.32,2
585,Bhoganhalli,1260.0,2.0,69.9,2
586,Bhoganhalli,2439.0,4.0,170.0,4
587,Bhoganhalli,1707.0,3.0,115.0,3
589,Bhoganhalli,970.0,2.0,52.5,2
591,Bhoganhalli,1277.0,2.0,79.89,2
593,Bhoganhalli,1703.0,3.0,120.0,3
595,Billekahalli,1125.0,2.0,62.0,2
596,Billekahalli,1090.0,2.0,52.0,2
597,Billekahalli,1112.0,2.0,62.0,2
598,Billekahalli,950.0,2.0,58.11,2
599,Billekahalli,1360.0,2.0,110.0,2
600,Billekahalli,1125.0,2.0,65.0,2
601,Billekahalli,950.0,2.0,56.0,2
602,Binny Pete,1755.0,3.0,122.0,3
603,Binny Pete,665.0,1.0,50.75,1
604,Binny Pete,2465.0,5.0,234.0,3
605,Binny Pete,660.0,1.0,54.0,1
606,Binny Pete,660.0,1.0,62.0,1
607,Binny Pete,1365.0,2.0,122.0,2
608,Binny Pete,2940.0,6.0,280.0,4
609,Binny Pete,1795.0,3.0,139.0,3
610,Binny Pete,1740.0,3.0,150.0,3
611,Binny Pete,2406.0,5.0,289.0,3
612,Binny Pete,1516.0,3.0,147.0,3
613,Bisuvanahalli,1180.0,3.0,48.0,3
617,Bisuvanahalli,1075.0,2.0,45.0,3
619,Bisuvanahalli,845.0,2.0,33.0,2
620,Bisuvanahalli,1075.0,2.0,45.0,3
621,Bisuvanahalli,845.0,2.0,37.0,2
624,Bisuvanahalli,845.0,2.0,29.0,2
625,Bisuvanahalli,1075.0,2.0,47.0,3
626,Bisuvanahalli,850.0,1.0,32.0,2
627,Bisuvanahalli,1075.0,2.0,50.0,3
628,Bisuvanahalli,1075.0,2.0,52.0,3
629,Bisuvanahalli,1180.0,2.0,46.0,3
630,Bisuvanahalli,1075.0,2.0,42.0,3
631,Bisuvanahalli,845.0,2.0,37.0,2
632,Bisuvanahalli,1075.0,2.0,43.0,3
633,Bisuvanahalli,700.0,1.0,32.0,2
634,Bisuvanahalli,1075.0,2.0,52.0,3
635,Bisuvanahalli,1075.0,2.0,50.0,3
637,Bisuvanahalli,845.0,2.0,33.0,2
638,Bisuvanahalli,945.0,2.0,33.0,2
639,Bisuvanahalli,845.0,2.0,30.0,2
642,Bisuvanahalli,1075.0,2.0,43.0,3
643,Bisuvanahalli,1080.0,2.0,45.0,3
644,Bisuvanahalli,1180.0,2.0,55.5,3
645,Bisuvanahalli,1075.0,2.0,47.0,3
646,Bisuvanahalli,1075.0,2.0,48.0,3
648,Bisuvanahalli,1075.0,2.0,45.0,3
649,Bisuvanahalli,1075.0,2.0,44.0,3
650,Bisuvanahalli,850.0,2.0,27.0,2
651,Bisuvanahalli,1075.0,2.0,42.0,3
652,Bisuvanahalli,845.0,2.0,32.0,2
654,Bisuvanahalli,845.0,2.0,34.0,2
656,Bommanahalli,910.0,2.0,45.0,2
657,Bommanahalli,1050.0,2.0,46.0,2
658,Bommanahalli,1100.0,1.0,55.0,2
659,Bommanahalli,1350.0,2.0,72.0,2
660,Bommanahalli,1020.0,2.0,55.0,2
661,Bommanahalli,1355.0,2.0,73.17,2
662,Bommanahalli,1160.0,2.0,53.0,2
663,Bommanahalli,1050.0,2.0,54.0,2
664,Bommasandra,1260.0,3.0,49.36,3
665,Bommasandra,1200.0,3.0,46.0,3
666,Bommasandra,1035.0,2.0,41.0,2
667,Bommasandra,1035.0,2.0,41.73,2
668,Bommasandra,1034.0,2.0,40.0,2
669,Bommasandra,877.0,2.0,30.0,2
670,Bommasandra,920.0,2.0,37.46,2
671,Bommasandra,1035.0,2.0,41.43,2
672,Bommasandra,1295.0,2.0,50.28,3
673,Bommasandra,1015.0,2.0,40.0,2
674,Bommasandra,1000.0,2.0,35.0,2
675,Bommasandra,955.0,2.0,35.28,2
676,Bommasandra,1005.0,2.0,39.77,2
